,,,,,,,,,
Długość geograficzna,Szerokość geograficzna,Identyfikator punktu,Deklaracja segregacji,Typ nieruchomości,Typ odpadu,Typ pojemnika,Identyfikator transpondera (DEC),Identyfikator transpondera (HEX),Nr pojemnika
23.091644,53.126716,1000046,T,Jednorodzinna,gabaryty,kontener,,,
23.091644,53.126716,1000046,T,Jednorodzinna,popiół,worek,,,
23.091644,53.126716,1000046,T,Jednorodzinna,szkło,worek,,,
23.091644,53.126716,1000046,T,Jednorodzinna,zielone,worek,,,
23.091644,53.126716,1000046,T,Jednorodzinna,zmieszane,120,18014398708581648,4000000BDE0510,4000000BDE0510
23.091693,53.12628,1000047,T,Jednorodzinna,SUCHE,worek,,,
23.091693,53.12628,1000047,T,Jednorodzinna,gabaryty,kontener,,,
23.091693,53.12628,1000047,T,Jednorodzinna,popiół,worek,,,
23.091693,53.12628,1000047,T,Jednorodzinna,szkło,worek,,,
23.091693,53.12628,1000047,T,Jednorodzinna,zielone,worek,,,
23.091693,53.12628,1000047,T,Jednorodzinna,zmieszane,240,18014398708608741,4000000BDE6EE5,4000000BDE6EE5
23.091236,53.126871,1000048,T,Jednorodzinna,SUCHE,worek,,,
23.091236,53.126871,1000048,T,Jednorodzinna,gabaryty,kontener,,,
23.091236,53.126871,1000048,T,Jednorodzinna,popiół,worek,,,
23.091236,53.126871,1000048,T,Jednorodzinna,szkło,worek,,,
23.091236,53.126871,1000048,T,Jednorodzinna,zielone,worek,,,
23.091236,53.126871,1000048,T,Jednorodzinna,zmieszane,120,18014398708580804,4000000BDE01C4,4000000BDE01C4
23.091044,53.127133,1000049,T,Jednorodzinna,SUCHE,worek,,,
23.091044,53.127133,1000049,T,Jednorodzinna,gabaryty,kontener,,,
23.091044,53.127133,1000049,T,Jednorodzinna,popiół,worek,,,
23.091044,53.127133,1000049,T,Jednorodzinna,szkło,worek,,,
23.091044,53.127133,1000049,T,Jednorodzinna,zielone,worek,,,
23.091044,53.127133,1000049,T,Jednorodzinna,zmieszane,120,18014398708592361,4000000BDE2EE9,4000000BDE2EE9
23.091418,53.126573,1000050,T,Jednorodzinna,SUCHE,worek,,,
23.091418,53.126573,1000050,T,Jednorodzinna,gabaryty,kontener,,,
23.091418,53.126573,1000050,T,Jednorodzinna,popiół,worek,,,
23.091418,53.126573,1000050,T,Jednorodzinna,szkło,worek,,,
23.091418,53.126573,1000050,T,Jednorodzinna,zielone,worek,,,
23.091418,53.126573,1000050,T,Jednorodzinna,zmieszane,120,18014398708592434,4000000BDE2F32,4000000BDE2F32
23.089382,53.121653,1000051,T,Jednorodzinna,SUCHE,worek,,,
23.089382,53.121653,1000051,T,Jednorodzinna,gabaryty,kontener,,,
23.089382,53.121653,1000051,T,Jednorodzinna,popiół,worek,,,
23.089382,53.121653,1000051,T,Jednorodzinna,szkło,worek,,,
