,,,,,,,,
Długość geograficzna,Szerokość geograficzna,Deklaracja segregacji,Typ nieruchomości,Typ odpadu,Typ pojemnika,Identyfikator transpondera (DEC),Identyfikator transpondera (HEX),Nr pojemnika
23.091236,53.126871,T,Jednorodzinna,SUCHE,worek,,,
23.091236,53.126871,T,Jednorodzinna,gabaryty,kontener,,,
23.091236,53.126871,T,Jednorodzinna,popiół,worek,,,
23.091236,53.126871,T,Jednorodzinna,szkło,worek,,,
23.091236,53.126871,T,Jednorodzinna,zielone,worek,,,
23.091236,53.126871,T,Jednorodzinna,zmieszane,120,18014398708607268,4000000BDE6924,4000000BDE6924
23.092507,53.125538,T,Jednorodzinna,SUCHE,worek,,,
23.092507,53.125538,T,Jednorodzinna,gabaryty,kontener,,,
23.092507,53.125538,T,Jednorodzinna,popiół,worek,,,
23.092507,53.125538,T,Jednorodzinna,szkło,worek,,,
23.092507,53.125538,T,Jednorodzinna,zielone,worek,,,
23.092507,53.125538,T,Jednorodzinna,zmieszane,120,18014398708609498,4000000BDE71DA,4000000BDE71DA
23.092507,53.125538,T,Jednorodzinna,SUCHE,worek,,,
23.092507,53.125538,T,Jednorodzinna,gabaryty,kontener,,,
23.092507,53.125538,T,Jednorodzinna,popiół,worek,,,
23.092507,53.125538,T,Jednorodzinna,szkło,worek,,,
23.092507,53.125538,T,Jednorodzinna,zielone,worek,,,
23.092507,53.125538,T,Jednorodzinna,zmieszane,120,18014398708609743,4000000BDE72CF,4000000BDE72CF
23.092551,53.125507,T,Jednorodzinna,SUCHE,worek,,,
23.092551,53.125507,T,Jednorodzinna,gabaryty,kontener,,,
23.092551,53.125507,T,Jednorodzinna,popiół,worek,,,
23.092551,53.125507,T,Jednorodzinna,szkło,worek,,,
23.092551,53.125507,T,Jednorodzinna,zielone,worek,,,
23.092551,53.125507,T,Jednorodzinna,zmieszane,120,18014398708532738,4000000BDD4602,4000000BDD4602
23.092507,53.125538,T,Jednorodzinna,SUCHE,worek,,,
23.092507,53.125538,T,Jednorodzinna,gabaryty,kontener,,,
23.092507,53.125538,T,Jednorodzinna,popiół,worek,,,
23.092507,53.125538,T,Jednorodzinna,szkło,worek,,,
23.092507,53.125538,T,Jednorodzinna,zielone,worek,,,
23.092507,53.125538,T,Jednorodzinna,zmieszane,120,18014398708571005,4000000BDDDB7D,4000000BDDDB7D
23.092471,53.125551,T,Jednorodzinna,SUCHE,worek,,,
23.092471,53.125551,T,Jednorodzinna,gabaryty,kontener,,,
23.092471,53.125551,T,Jednorodzinna,popiół,worek,,,
23.092471,53.125551,T,Jednorodzinna,szkło,worek,,,
23.092471,53.125551,T,Jednorodzinna,zielone,worek,,,
23.092471,53.125551,T,Jednorodzinna,zmieszane,120,18014398708592980,4000000BDE3154,4000000BDE3154
23.091236,53.126871,T,Jednorodzinna,SUCHE,worek,,,
23.091236,53.126871,T,Jednorodzinna,gabaryty,kontener,,,
23.091236,53.126871,T,Jednorodzinna,popiół,worek,,,
23.091236,53.126871,T,Jednorodzinna,szkło,worek,,,
23.091236,53.126871,T,Jednorodzinna,zielone,worek,,,
23.091236,53.126871,T,Jednorodzinna,zmieszane,120,18014398708592314,4000000BDE2EBA,4000000BDE2EBA
23.093516,53.123844,T,Jednorodzinna,SUCHE,worek,,,
23.093516,53.123844,T,Jednorodzinna,gabaryty,kontener,,,
23.093516,53.123844,T,Jednorodzinna,popiół,worek,,,
23.093516,53.123844,T,Jednorodzinna,szkło,worek,,,
23.093516,53.123844,T,Jednorodzinna,zielone,worek,,,
23.093516,53.123844,T,Jednorodzinna,zmieszane,120,18014398708581546,4000000BDE04AA,4000000BDE04AA
23.08756,53.134631,T,Jednorodzinna,SUCHE,worek,,,
23.08756,53.134631,T,Jednorodzinna,gabaryty,kontener,,,
23.08756,53.134631,T,Jednorodzinna,popiół,worek,,,
23.08756,53.134631,T,Jednorodzinna,szkło,worek,,,
23.08756,53.134631,T,Jednorodzinna,zielone,worek,,,
23.08756,53.134631,T,Jednorodzinna,zmieszane,120,18014398708583364,4000000BDE0BC4,4000000BDE0BC4
23.084573,53.135364,T,Jednorodzinna,SUCHE,worek,,,
23.084573,53.135364,T,Jednorodzinna,gabaryty,kontener,,,
23.084573,53.135364,T,Jednorodzinna,popiół,worek,,,
23.084573,53.135364,T,Jednorodzinna,szkło,worek,,,
23.084573,53.135364,T,Jednorodzinna,zielone,worek,,,
23.084573,53.135364,T,Jednorodzinna,zmieszane,120,18014398708574587,4000000BDDE97B,4000000BDDE97B
23.087338,53.134093,T,Jednorodzinna,SUCHE,worek,,,
23.087338,53.134093,T,Jednorodzinna,gabaryty,kontener,,,
