Lp.,KWIT NR,DATA 1 WAŻENIA,DATA 2 WAŻENIA,POJAZD/ WAGON,KONTRAHENT,PRODUKT,POCHODZENIE,"WAŻENIE 1(BRUTTO)","WAŻENIE 2(TARA)",TYP WAŻENIA,NETTO
5707,10469/2017,2017-06-19 12:04:43,2017-06-19 12:11:48,277,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"22,06","15,7",PZ,6.36
5708,10470/2017,2017-06-19 12:05:16,2017-06-19 12:09:38,087,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,ZABŁUDÓW,"24,22","16,1",PZ,8.12
5709,10471/2017,2017-06-19 12:05:45,2017-06-19 12:10:27,1006,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"19,42","15,22",PZ,4.2
5710,10472/2017,2017-06-19 12:06:47,2017-06-19 12:14:10,067,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"18,42","15,16",PZ,3.26
5711,10473/2017,2017-06-19 12:09:06,2017-06-19 12:16:14,03,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"20,54","13,94",PZ,6.6
5712,10474/2017,2017-06-19 12:16:01,2017-06-19 12:20:38,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"8,28","7,46",PZ,0.82
5713,10475/2017,2017-06-19 12:17:27,2017-06-19 12:23:30,227,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"18,54","14,62",PZ,3.92
5714,10476/2017,2017-06-19 12:29:13,2017-06-19 12:32:48,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,36","6,54",PZ,0.82
5715,10477/2017,2017-06-19 12:29:48,2017-06-19 12:36:54,1012,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"24,26","13,98",PZ,10.28
5716,10478/2017,2017-06-19 12:39:26,2017-06-19 12:46:15,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"25,82","13,84",PZ,11.98
5717,10479/2017,2017-06-19 12:42:28,2017-06-19 12:48:04,577,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"20,94","16,68",PZ,4.26
5718,10480/2017,2017-06-19 12:46:50,2017-06-19 12:53:27,979,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"4,2","3,52",PZ,0.68
5719,10482/2017,2017-06-19 12:50:26,2017-06-19 12:56:19,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"28,6","15,62",PZ,12.98
5720,10483/2017,2017-06-19 12:59:45,2017-06-19 13:06:31,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"8,04","7,52",PZ,0.52
5721,10484/2017,2017-06-19 13:00:09,2017-06-19 13:05:56,09,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"13,98","12,24",PZ,1.74
5722,10485/2017,2017-06-19 13:14:43,2017-06-19 13:20:46,267,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"20,26","14,78",PZ,5.48
